id,prolific_id,XP_condition,age,education,employment,freq_cook,from,gender,living_in_UK,question1,question2,question3,question4,question5,question6,question7,question1,question17,question18,question19,question2,question22,question23,question24,question3,question4,question5,question6,question7,question8,question8_reversed,question10,question11,question12,question13,question14,question15,question16,question20,question21,question25,question26,question27,question9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients,duration,free_text_about_cora,free_text_about_study
LtUuOhXows8y8o2NujM,5d4de607e349a4001629b1f0,human,18-29,udergrad,['part-time'],several_t_w,Mexico,female,not_in_UK,0,1,0,1,3,3,1,5,4,6,6,5,4,0,5,6,6,6,6,6,0,6,6,6,4,6,6,6,2,6,6,2,6,6,3,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': -0.04}","{'food_fillingness': 0.5, 'healthiness': 0.98}",1,2,3,2,"['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', '%20salad&maxReadyTime=21&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', '%20salad']",0:25:38,"
I really liked the interaction and that he prescribed me very healthy meals, it really is something that is appreciated. 
She is very kind","
It is a very interesting study, I hope the platform is very successful, I hope you can add breakfasts, as well as based on the budget."
LtUuOzhNM96gazFbaCb,5d53dc4f93278500018f4e37,NONE,18-29,udergrad,['part-time'],once_day,Ελλάδα,female,not_in_UK,4,1,4,2,4,4,2,4,4,4,2,5,3,1,2,5,6,5,5,3,2,4,5,3,4,5,5,6,5,2,2,4,4,6,4,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.1}","{'food_fillingness': -0.5, 'healthiness': 1}",0,1,1,1,['broccoli&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:05:09,,
LtUuPHVzgmu1kZpAGTz,5b3a06071d4b6800016947e3,robot,50-69,college,['unemployed'],once_day,United Kingdom,female,born_here,5,3,5,1,5,4,5,5,5,5,5,6,3,3,6,5,5,4,6,5,0,6,5,6,5,6,5,6,5,4,5,5,0,6,5,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.08333333333333333, 'food_fillingness': -0.1, 'healthiness': 0.12}","{'food_fillingness': -0.55, 'healthiness': 0.56}",2,1,2,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:10:28,Nothing thank you,Nothing.
LtUuPwp9oG1gVm67K-x,5d20c1b3c0291600169512e7,NONE,18-29,college,['student'],several_t_w,Greece,female,5_to_10y,4,2,3,1,5,5,4,4,0,3,2,5,1,1,4,3,6,3,4,3,4,2,4,2,1,6,1,3,2,2,0,5,0,6,1,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': -0.05, 'food_fillingness': -0.06, 'healthiness': 0.08}","{'food_fillingness': 0.47, 'healthiness': 0.54}",1,1,4,1,['soup&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['soup'],0:04:07,there was a lot of soup reccomendations even after asking for different recipes a couple of times,all good
LtUuQ77EluTPqOnlfOg,596bc31ae2a6a700014ca930,human,18-29,udergrad,['full-time'],once_day,The UK,male,born_here,2,3,3,3,4,3,5,0,4,4,4,1,0,1,4,0,4,1,3,0,6,0,1,1,2,5,4,4,1,4,4,6,3,6,5,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.05, 'food_fillingness': -0.06, 'healthiness': -0.02}","{'food_fillingness': -0.53, 'healthiness': 0.49}",2,1,4,1,['onion&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:06:31,"Cora recommended a recipe that included the phrase ""And a giveaway"". The recipe was clearly lifted from a blog or recipe site in which the writer was giving away some kind of free gift and was not edited correctly for the bot to convey it.",
LtUuQVRfOHGXG4VCEP2,5d21c0dfb1e50a001c19e94c,robot,18-29,udergrad,['full-time'],several_t_w,United Kingdom,male,born_here,4,4,5,5,5,4,4,6,6,6,6,6,2,5,6,6,6,6,6,4,0,6,6,4,4,6,6,6,2,6,6,4,1,6,1,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.0}","{'food_fillingness': -0.5, 'healthiness': 0.5}",1,1,1,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:04:57,"Very interesting, i asked for an unhealthy option and Cora still suggested a healthy option, but was suggested in a friendly manner. ","I enjoyed this study, thank you! "
LtUuQXrVOEBTKQGJJsn,5d47e2b023a1260001202968,robot,30-49,graduate,['full-time'],several_t_w,Portugal,female,not_in_UK,4,2,4,3,5,5,5,2,0,0,0,5,0,5,5,5,4,4,6,4,3,3,4,1,0,6,1,4,3,0,0,6,4,6,1,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.06}","{'food_fillingness': 0.48, 'healthiness': 1}",1,3,5,3,"['salmon&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', '%20salad&maxReadyTime=5000&excludeIngredients=salmon,meatball&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'soup&maxReadyTime=5000&excludeIngredients=salmon,meatball,avocado,apple,kale,onion,carrot&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', '%20salad', 'soup']",0:12:51,"I didn't receive any recipe with the ingredients I mentioned (despite not being anything too complicated to cook together, like chicken + carrots + spring onions). I feel like it would be more interesting if Cora had a wider net of recipes available. Also, instead of blindly suggesting recipes, I think it'd be better if you could input the ingredients you have at home into Cora (at least 2-3) as it would help you cook using what you have available in your fridge (instead of having to go out to stock up).
Also, for a chatbot, I feel like reducing the personal/off-topic conversation would help, as there's general expectation that you're chatting with a bot so anything extra feels slightly awkward as it was generated and not genuine.

Other than that, this is a very cool concept that I would definitely use if I found it more useful.",It was a fun experience! Thanks :)
LtUuSgYKVKGGP6qZ9M3,5c66e37c34323f0001608e3e,NONE,18-29,graduate,['part-time'],several_t_w,South Africa,female,5_to_10y,4,2,4,2,3,4,1,1,0,0,2,3,2,3,1,0,1,4,4,2,4,2,0,0,1,4,1,3,1,2,1,3,4,6,1,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.03333333333333333, 'food_fillingness': 0.04, 'healthiness': 0.08}","{'food_fillingness': 0.52, 'healthiness': 1}",1,1,3,1,['salmon&maxReadyTime=5000&intolerances=gluten&excludeIngredients=gluten&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],0:09:35,"I found the initial interaction creepy and unnecessary- why were my person details relevant? I felt like I was asked to disclose too much. After her initial recommendation of fish I asked for a vegetarian recipe twice, with both her responses being a variation of the fish recipe.",I was not comfortable being asked personal information such as my name and where I live.
LtUuUAhQgd9f256RHAJ,5d4e666a4ec90b000121811b,human,18-29,udergrad,['student'],occasionnaly,Italy,male,not_in_UK,0,1,0,3,0,5,0,5,3,2,2,6,4,1,6,3,5,5,6,2,2,4,5,5,4,5,5,4,1,2,1,3,1,6,4,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.13333333333333333, 'food_fillingness': 0.16, 'healthiness': -0.08}","{'food_fillingness': -0.42, 'healthiness': 0.46}",0,1,2,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:11:32,The chat was very natural and the recipies Cora shared with me matched well my needs. I woud use this service if it was available.,"No particular feedback to give, everithing went smooth and the chatbot worked perfectly."
LtUuYH49UYDsYYBe6kg,5d822f75d09b690017857bd4,robot,30-49,udergrad,['full-time'],occasionnaly,Uk,male,born_here,1,2,2,2,2,2,2,4,2,2,2,5,5,3,1,1,3,2,4,1,5,1,2,1,2,4,1,1,1,1,1,4,4,6,3,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': -0.02}","{'food_fillingness': -0.5, 'healthiness': 0.49}",2,1,2,1,['onion&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:03:24,,
LtUugrMd4PjB-fD-KKU,5c2bf915f24aeb00015e4d43,human,18-29,college,['full-time'],never,Poland,male,not_in_UK,0,1,1,2,0,0,1,5,4,4,4,4,3,3,3,4,4,4,5,4,1,5,3,2,3,3,4,3,3,4,3,3,3,3,3,"{'food_fillingness': 1, 'healthiness': -1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.04}","{'food_fillingness': 0.51, 'healthiness': -0.020000000000000018}",0,4,1,3,"['moussaka&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'moussaka&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'fish%20cake&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'wrap&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['moussaka', 'fish%20cake', 'wrap']",0:14:33,,
LtUumfZ-1zAvv6xSvjD,5c4214996ca3080001d3b4c1,NONE,30-49,graduate,['full-time'],once_w,Hungary,female,not_in_UK,1,3,1,3,3,4,1,4,3,3,3,3,3,0,3,2,2,5,5,4,1,5,1,3,3,6,3,5,4,3,3,2,6,6,3,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.05, 'food_fillingness': 0.06, 'healthiness': -0.08}","{'food_fillingness': -0.47, 'healthiness': 0.96}",2,1,3,1,['broccoli&maxReadyTime=31&excludeIngredients=fish&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:09:23,Cora seemed perfectly human till my last recipe request where I specifically asked a food without broccoli and yet the recipe contained it,
LtUuwc4CTQRDqCPjONT,5957a896eb4f4a00011688b5,human,50-69,udergrad,['part-time'],once_day,northern ireland,female,born_here,3,3,3,0,4,5,4,0,0,0,0,6,0,6,5,3,3,1,5,1,5,1,6,0,3,4,2,2,2,0,0,6,6,6,5,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.05, 'food_fillingness': -0.06, 'healthiness': 0.06}","{'food_fillingness': -0.53, 'healthiness': 0.53}",0,3,2,3,"['onion&maxReadyTime=5000&diet=vegan&excludeIngredients=pasta,dishes,rice,dairy&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'fennel&maxReadyTime=5000&diet=vegan&excludeIngredients=pasta,dishes,rice,dairy,avocado&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'pepper&maxReadyTime=5000&diet=vegan&excludeIngredients=pasta,dishes,rice,dairy,avocado,spices&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['onion', 'fennel', 'pepper']",0:06:54,I really felt like it was a waste of time because of my food preferences,
LtUvPjs2nrGEyjyccVy,5c0004fc4210510001725547,robot,30-49,udergrad,['part-time'],several_t_w,Italy,male,not_in_UK,2,2,2,2,3,4,4,2,3,5,3,4,1,1,3,2,5,5,5,2,2,4,2,2,2,2,4,5,2,4,3,4,1,6,2,"{'food_fillingness': -1, 'healthiness': -1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.0}","{'food_fillingness': -0.51, 'healthiness': 0.0}",2,1,4,1,['pepper&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],0:13:51,,
LtUzTZrrBm9cU62DUaz,5b780f891c89e50001d6e8b1,NONE,30-49,college,['full-time'],once_day,Poland,male,not_in_UK,3,3,5,3,5,4,3,5,5,5,5,6,6,2,3,6,5,6,5,5,4,2,5,6,5,6,5,5,3,4,5,2,4,6,5,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.04}","{'food_fillingness': -0.51, 'healthiness': 1}",3,1,4,1,['broccoli&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:08:25,it was very nice to talk to her,very interesting study
LtUzTa6_LAzF1I5h85O,5c8659d49a306000016f7c4c,human,30-49,college,['full-time'],once_day,United Kingdom,female,born_here,0,6,4,4,0,0,0,4,3,3,2,5,5,0,6,5,6,5,6,4,0,6,5,6,1,6,3,4,5,2,3,0,6,6,3,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.06666666666666667, 'food_fillingness': 0.08, 'healthiness': -0.12}","{'food_fillingness': -0.46, 'healthiness': 0.44}",0,1,1,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:04:58,No thanks,Interesting
LtUzTz_nK9XeL-SAfKN,5daa85e5997769001203771d,robot,1,4,1,4,4,5,4
LtUzUgWlXFISxb87gsn,5c5d36bc034e280001644c3b,human,3,3,3,4,5,5,5
LtUzVG_G8XgH0E_a_7d,588d4876b08cc30001b77a5e,robot,50-69,secondary,['part-time'],several_t_w,suffolk,female,born_here,4,4,4,4,3,5,2,4,5,5,4,5,5,2,4,4,5,5,5,3,2,4,4,4,3,5,4,4,5,3,3,3,1,6,4,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.06666666666666667, 'food_fillingness': 0.08, 'healthiness': 0.0}","{'food_fillingness': -0.46, 'healthiness': 1}",1,1,2,1,['spinach&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],0:07:30,,
LtUzVy_osaJr1G20Dr7,58a2e8c9e6afe00001d35005,NONE,30-49,udergrad,['part-time'],several_t_w,United Kingdom,female,born_here,5,2,5,1,3,2,5,3,3,3,3,6,4,1,1,6,6,4,5,4,1,5,4,4,3,4,2,3,0,0,3,6,6,6,0,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.08333333333333333, 'food_fillingness': -0.1, 'healthiness': 0.14}","{'food_fillingness': -0.55, 'healthiness': 1}",1,1,3,1,['broccoli&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:06:24,it was quick,i said no lactose but went with it.
