id,question1,question2,question3,question4,question5,question6,question7,question1,question17,question18,question19,question2,question22,question23,question24,question3,question4,question5,question6,question7,question8,question10,question11,question12,question13,question14,question15,question16,question20,question21,question25,question26,question27,question9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients
-LtGK4RNa5JROYYqjKzd,5,4,3,4,3,5,6,5,5,5,4,5,5,2,5,5,5,5,5,3,3,4,4,4,5,5,5,5,5,4,3,5,6,3,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.0}","{'comfort': -0.5, 'food_fillingness': 0.5, 'healthiness': 1}",1,1,1,1,['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],robot
-LtGK4_MZ7Flco1yrnUz,2,0,3,3,5,3,4,5,3,3,2,2,4,1,1,5,6,4,5,4,2,5,5,3,6,4,5,2,2,2,5,1,6,5,"{'comfort': 0, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.05, 'food_fillingness': -0.06, 'healthiness': 0.04}","{'comfort': -0.025, 'food_fillingness': -0.53, 'healthiness': 1}",2,1,2,1,['spinach&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],NONE
-LtGK4aIPhwYrHY-l13R,5,2,4,2,0,2,0,4,1,1,4,5,0,0,0,1,6,0,4,3,5,1,6,4,6,5,5,4,1,1,5,1,6,6,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.06666666666666667, 'food_fillingness': 0.08, 'healthiness': 0.1}","{'comfort': -0.4666666666666667, 'food_fillingness': 0.54, 'healthiness': 0.55}",2,1,4,1,['eggs%20&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['eggs%20'],NONE
-LtGK8fA2i3CcryE4-ay,3,1,3,2,4,0,3
-LtGK9hHp1GdNBBGQXll,2,3,4,3,5,5,5,4,6,6,6,2,2,4,2,5,5,4,5,4,2,3,5,4,6,6,5,6,6,6,4,5,6,6,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.0}","{'comfort': -0.5166666666666667, 'food_fillingness': -0.52, 'healthiness': 1}",2,1,5,1,['spinach&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],NONE
-LtGKLI73Avd447nZR5h,3,4,4,3,3,5,3
-LtGKzoBENthpgiE4mBO,6,3,5,3,4,5,4,4,5,4,5,6,2,5,3,4,5,3,4,4,1,3,4,5,4,3,4,5,4,3,4,3,6,5,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.1}","{'comfort': -0.5, 'food_fillingness': 0.5, 'healthiness': 0.55}",1,3,1,2,"['Quorn&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'eggs%20&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['Quorn', 'eggs%20']",NONE
-LtGLEord2fvIDWduDeu,3,3,3,2,4,1,1,1,1,1,1,6,0,0,4,4,4,2,6,2,5,4,2,1,6,2,3,4,1,1,6,0,6,1,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.02}","{'comfort': -0.5166666666666667, 'food_fillingness': -0.52, 'healthiness': 0.51}",0,1,2,1,['pepper&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],robot
-LtGMJK3TZWHcbaQApjp,2,3,4,5,4,4,3,3,3,4,3,4,1,3,5,3,2,4,5,3,3,3,3,2,4,2,2,3,3,3,2,1,6,4,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.03333333333333333, 'food_fillingness': 0.04, 'healthiness': -0.04}","{'comfort': -0.48333333333333334, 'food_fillingness': 0.52, 'healthiness': 0.48}",1,3,2,2,"['Quorn&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'eggs%20&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['Quorn', 'eggs%20']",NONE
-LtGMfJPJrkuQeNARKrc,6,4,6,4,5,5,3,0,1,2,4,6,0,4,0,2,1,2,3,1,6,5,0,3,6,6,4,1,4,4,5,5,6,6,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.08}","{'comfort': -0.49166666666666664, 'food_fillingness': -0.49, 'healthiness': 0.54}",0,1,4,1,['pepper&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],robot
ack,6,4,6,4,5,5,3,0,1,2,4,6,0,4,0,2,1,2,3,1,6,5,0,3,6,6,4,1,4,4,5,5,6,6,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.08}","{'comfort': -0.49166666666666664, 'food_fillingness': -0.49, 'healthiness': 0.54}",0,1,4,1,['pepper&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],robot
xp_condition,6,4,6,4,5,5,3,0,1,2,4,6,0,4,0,2,1,2,3,1,6,5,0,3,6,6,4,1,4,4,5,5,6,6,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.08}","{'comfort': -0.49166666666666664, 'food_fillingness': -0.49, 'healthiness': 0.54}",0,1,4,1,['pepper&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],robot
